品目番号,item,検査項目,単位,ロット,測定値,UCL,LCL,USL,LSL,受入日,膜厚,製品幅,樹脂幅,巻m数
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1744648,0,0,0,0,0,2022/11/24,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1744648,0,0,0,0,0,2023/1/11,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1744648,0,0,0,0,0,2023/2/3,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1744648,0,0,0,0,0,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1744648,0,0,0,0,0,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1845488,0,0,0,0,0,2023/2/21,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1845488,0,0,0,0,0,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1845488,0,0,0,0,0,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1845488,0,0,0,0,0,2023/6/7,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,GPCﾁｬｰﾄ,,D1845488,0,0,0,0,0,2023/7/19,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1744648,50.3,51,49,51,49,2022/11/24,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1744648,50.6,51,49,51,49,2023/1/11,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1744648,50.6,51,49,51,49,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1744648,50.6,51,49,51,49,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1744648,50.6,51,49,51,49,2023/2/3,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1845488,50.4,51,49,51,49,2023/2/21,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1845488,50.6,51,49,51,49,2023/7/19,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1845488,50.7,51,49,51,49,2023/6/7,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1845488,50.7,51,49,51,49,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,NV(150℃ ｿﾙﾍﾞｯｿ150),wt％,D1845488,50.7,51,49,51,49,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1744648,0,0,0,0,0,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1744648,0,0,0,0,0,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1744648,0,0,0,0,0,2023/2/3,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1744648,0,0,0,0,0,2023/1/11,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1744648,0,0,0,0,0,2022/11/24,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1845488,0,0,0,0,0,2023/2/21,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1845488,0,0,0,0,0,2023/6/7,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1845488,0,0,0,0,0,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1845488,0,0,0,0,0,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,外観,,D1845488,0,0,0,0,0,2023/7/19,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1744648,3,10,-99999,10,-99999,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1744648,3,10,-99999,10,-99999,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1744648,3,10,-99999,10,-99999,2022/11/24,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1744648,3,10,-99999,10,-99999,2023/2/3,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1744648,3,10,-99999,10,-99999,2023/1/11,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1845488,3,10,-99999,10,-99999,2023/2/21,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1845488,5,10,-99999,10,-99999,2023/7/19,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1845488,5,10,-99999,10,-99999,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1845488,5,10,-99999,10,-99999,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,色数（ガードナー）,-,D1845488,5,10,-99999,10,-99999,2023/6/7,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1744648,4.8,6,1,6,1,2022/11/24,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1744648,4.9,6,1,6,1,2023/1/11,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1744648,4.9,6,1,6,1,2023/2/3,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1744648,4.9,6,1,6,1,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1744648,4.9,6,1,6,1,2023/2/14,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1845488,4.9,6,1,6,1,2023/2/21,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1845488,5,6,1,6,1,2023/6/7,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1845488,5,6,1,6,1,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1845488,5,6,1,6,1,2023/4/18,,,,
12270820,ﾙｸｼﾃﾞｨｱEPG-112,粘度,Pa･ｓ,D1845488,5.1,6,1,6,1,2023/7/19,,,,
